import_value_eur,export_value_eur,import_qty_kg,export_qty_kg,date,export_value_eur_real_2025,import_value_eur_real_2025
37793215,11782813,6106724,1717532,2015-07-01,16333057.383259362,52388062.960250534
36966485,10456170,6025714,1465833,2015-08-01,14494096.15675943,51242069.33967266
41687283,13004261,7421302,1773166,2015-09-01,18026199.782673437,57785928.1473085
43661253,14822472,7623670,1998588,2015-10-01,20546560.972982865,60522198.78852401
47927685,14953833,7610198,2071965,2015-11-01,20728650.49192222,66436226.16702641
40656088,12784134,7157781,1908777,2015-12-01,17721064.92883126,56356509.967767656
32194821,10253911,5408667,1494189,2016-01-01,14086946.980128132,44229634.57179566
38487837,12524385,6687702,1744221,2016-02-01,17206151.628750443,52875056.0833631
37628763,11740182,6471765,1641947,2016-03-01,16128804.06032924,51694849.829378
40824273,13080424,7153039,1914903,2016-04-01,17970044.733721167,56084880.12557125
41768367,11981331,7345892,1733442,2016-05-01,16460097.473867832,57381887.884099394
40762695,14231556,7452011,2054331,2016-06-01,19551483.801324625,56000283.52422155
36274236,10405206,6354705,1588198,2016-07-01,14294797.88144359,49833984.250171
37861417,11695311,6688981,1702887,2016-08-01,16067159.73769514,52014472.70914697
45962184,11897640,8291178,1699306,2016-09-01,16345121.765602576,63143404.41407123
44680421,13539304,7732990,1882144,2016-10-01,18600459.62909535,61382502.898338355
48207619,14486725,8367658,2075216,2016-11-01,19902038.06047241,66228210.18158024
46071275,11662758,7558993,1700580,2016-12-01,16022438.032480018,63293274.94961705
39894520,12703833,6862394,1800679,2017-01-01,17093711.52012862,53680288.15507899
37557808,11000494,6726077,1618914,2017-02-01,14801774.473492036,50536112.62682521
44158407,13712748,7671387,2080556,2017-03-01,18451262.580374025,59417584.475994624
37534495,10947085,6305017,1907703,2017-04-01,14729909.703341283,50504743.69300274
44593275,12541052,7188792,2042005,2017-05-01,16874680.66109906,60002723.47627394
42122622,11900833,6783074,1776254,2017-06-01,16013230.506983746,56678322.90769433
36647991,11243003,6443251,1700227,2017-07-01,15128083.776128089,49311903.41893426
38696710,12030548,6905576,1729358,2017-08-01,16187769.230047366,52068568.40121216
44268976,11615551,7827004,1524052,2017-09-01,15629367.761788234,59566361.1947274
44592318,13516306,7983738,1792244,2017-10-01,18186938.979895562,60001435.779724024
